Gmt time,Open,High,Low,Close,Volume
11.10.2017 21:00:00.000,4827,5391,4791,5319,2376823.3907999997
12.10.2017 21:00:00.000,5318,5868,5279,5617,2388066.494
15.10.2017 21:00:00.000,5525,5758,5501,5679,2338111.0002
16.10.2017 21:00:00.000,5681,5786,5525,5579,1847863.1020999996
17.10.2017 21:00:00.000,5578,5613,5110,5508,2096951.9997
18.10.2017 21:00:00.000,5509,5741,5487,5701,1999898.5062999998
19.10.2017 21:00:00.000,5701,6064,5619,5973,1895417.5798
22.10.2017 21:00:00.000,5882,6059,5648,5914,2420626.4647999997
23.10.2017 21:00:00.000,5914,5932,5563,5596,3778880.5008
24.10.2017 21:00:00.000,5597,5694,5374,5681,3314883.0833999985
25.10.2017 21:00:00.000,5681,5985,5642,5844,2210640.0908
26.10.2017 21:00:00.000,5844,5996,5690,5756,2159224.182199999
29.10.2017 21:00:00.000,6177,6220,6028,6100,1764670.0094999997
30.10.2017 21:00:00.000,6100,6430,6085,6378,1857819.4160000004
31.10.2017 21:00:00.000,6377,6650,6364,6580,2131336.1931
01.11.2017 21:00:00.000,6580,7401,6574,7058,2461170.2001
02.11.2017 21:00:00.000,7061,7451,6941,7229,2501093.2007
05.11.2017 22:00:00.000,7361,7445,6950,7133,2967550.9072
06.11.2017 22:00:00.000,7129,7229,6932,7075,2846054.6264
07.11.2017 22:00:00.000,7075,7883,7043,7264,2966027.2827000003
08.11.2017 22:00:00.000,7263,7491,7062,7122,2606571.396
09.11.2017 22:00:00.000,7121,7348,6420,6584,2396855.1976999994
12.11.2017 22:00:00.000,5894,6828,5605,6508,3286784.6147
13.11.2017 22:00:00.000,6507,6748,6400,6593,3222719.1008
14.11.2017 22:00:00.000,6593,7346,6542,7294,2297815.2885
15.11.2017 22:00:00.000,7295,7898,7124,7893,2076563.7971
16.11.2017 22:00:00.000,7894,7999,7536,7707,2276277.6030999995
19.11.2017 22:00:00.000,8022,8291,7948,8250,1478794.7043
20.11.2017 22:00:00.000,8250,8376,7800,8136,1782312.4114000003
21.11.2017 22:00:00.000,8136,8304,7971,8205,1609748.8021
22.11.2017 22:00:00.000,8207,8283,8097,8168,1735385.7957000001
23.11.2017 22:00:00.000,8168,8332,7873,8250,1701501.8043
26.11.2017 22:00:00.000,9335,9751,9279,9657,1854947.5059
27.11.2017 22:00:00.000,9653,9975,9555,9945,1549725.6011
28.11.2017 22:00:00.000,9922,11439,9020,10202,2696371.3684
29.11.2017 22:00:00.000,10200,10799,9028,9662,4039828.231600001
30.11.2017 22:00:00.000,9661,10942,9377,10903,3334642.8832
03.12.2017 22:00:00.000,10955,11582,10576,11500,2577205.0019
04.12.2017 22:00:00.000,11501,11867,11462,11778,2078778.9994999997
05.12.2017 22:00:00.000,11778,13479,11698,13403,2494507.1794000003
06.12.2017 22:00:00.000,13331,17639,13331,16059,2486780.5023000003
07.12.2017 22:00:00.000,16056,17119,13891,15647,334564.2001
10.12.2017 22:00:00.000,14805,17432,14543,17150,2036466.0017
11.12.2017 22:00:00.000,17150,17584,16300,17262,1028186.6037000001
12.12.2017 22:00:00.000,17254,17573,15756,16753,1853031.1964999998
13.12.2017 22:00:00.000,16754,17159,16061,16506,1856683.7004
14.12.2017 22:00:00.000,16523,17964,16297,17633,1038956.0861999999
17.12.2017 22:00:00.000,18985,19512,18119,18675,2428291.2138
18.12.2017 22:00:00.000,18675,19010,16737,16905,2293406.2917
19.12.2017 22:00:00.000,16992,17852,15819,16219,3009438.9612000003
20.12.2017 22:00:00.000,16213,17340,14854,15385,1875951.8127000001
21.12.2017 22:00:00.000,15390,15811,10778,14245,391137.1005
24.12.2017 22:00:00.000,13172,14629,13017,13849,616515.2996999999
25.12.2017 22:00:00.000,13786,16158,13665,15930,3225220.9816999994
26.12.2017 22:00:00.000,15933,16502,14635,15206,2668156.3942000004
27.12.2017 22:00:00.000,15201,15503,13503,13938,2127928.7024999997
28.12.2017 22:00:00.000,13943,15093,13927,14313,3038986.0982
01.01.2018 22:00:00.000,13599,15297,13021,14828,850804.5047000003
02.01.2018 22:00:00.000,14855,15474,14656,15118,892734.3025999998
03.01.2018 22:00:00.000,15106,15467,14267,14995,881645.2884000002
04.01.2018 22:00:00.000,14992,16980,14886,16882,912727.5044
07.01.2018 22:00:00.000,16243,16511,13965,14996,897130.1022
08.01.2018 22:00:00.000,14986,15421,14210,14591,748606.4967
09.01.2018 22:00:00.000,14560,14749,13488,14544,837891.7006999999
10.01.2018 22:00:00.000,14554,15014,12844,13516,764627.0004999998
11.01.2018 22:00:00.000,13557,14166,12883,13797,756973.3943999999
14.01.2018 22:00:00.000,13460,14374,13443,13954,781722.6045
15.01.2018 22:00:00.000,13938,13973,10408,10748,675345.2969999999
16.01.2018 22:00:00.000,10630,11821,9225,11433,806738.9012000001
17.01.2018 22:00:00.000,11411,12107,10646,11573,1055040.9069
18.01.2018 22:00:00.000,11572,11985,10940,11410,1256624.5080999997
21.01.2018 22:00:00.000,11424,11932,10080,10402,1428772.3999999997
22.01.2018 22:00:00.000,10389,11439,10008,11032,1418607.1088999999
23.01.2018 22:00:00.000,11034,11545,10547,11266,1201703.8043
24.01.2018 22:00:00.000,11256,11763,10947,11301,1027705.6923999999
25.01.2018 22:00:00.000,11305,11664,10361,10948,1055831.4838
28.01.2018 22:00:00.000,11828,11835,11095,11306,6273.799999999999
29.01.2018 22:00:00.000,11290,11306,9856,10201,8032.2
30.01.2018 22:00:00.000,10195,10443,9684,10065,7907.9000000000015
31.01.2018 22:00:00.000,10057,10299,8701,9176,8523.099999999999
01.02.2018 22:00:00.000,9185,9287,7664,8635,8582.3
04.02.2018 22:00:00.000,8118,8471,6641,7167,350393.1989
05.02.2018 22:00:00.000,7198,7984,5982,7812,1239970.0011
06.02.2018 22:00:00.000,7815,8638,7240,8138,1077360.0042
07.02.2018 22:00:00.000,8131,8680,7587,8230,942900.0050999997
08.02.2018 22:00:00.000,8224,8777,7806,8606,820010
11.02.2018 22:00:00.000,8344,8954,8070,8884,269813.3964
12.02.2018 22:00:00.000,8884,9028,8423,8610,813749.9942999998
13.02.2018 22:00:00.000,8621,9419,8540,9343,884060.0090999999
14.02.2018 22:00:00.000,9337,10272,9302,9923,973779.9949999999
15.02.2018 22:00:00.000,9960,10346,9755,10138,878260.0040000001
18.02.2018 22:00:00.000,10810,11304,10375,11137,903690.0024000001
19.02.2018 22:00:00.000,11159,11799,11112,11760,885970.009
20.02.2018 22:00:00.000,11761,11826,10300,10330,1086789.9911999998
21.02.2018 22:00:00.000,10356,10979,9784,9957,1030909.9980000001
22.02.2018 22:00:00.000,9950,10464,9642,9970,1178655.0062999998
25.02.2018 22:00:00.000,9645,10502,9434,10431,1327805.0039999995
26.02.2018 22:00:00.000,10431,10911,10194,10812,1426557.4878000005
27.02.2018 22:00:00.000,10813,11119,10444,10582,1369897.5029000002
28.02.2018 22:00:00.000,10589,11136,10280,10988,783489.9978999998
01.03.2018 22:00:00.000,10986,11228,10842,11080,771340.0096
04.03.2018 22:00:00.000,11477,11771,11391,11667,619519.9928
05.03.2018 22:00:00.000,11671,11714,10667,10890,725339.9982999997
06.03.2018 22:00:00.000,10890,10994,9540,10042,853999.9953
07.03.2018 22:00:00.000,10047,10214,9183,9446,858330.0018999998
08.03.2018 22:00:00.000,9434,9524,8486,9199,990540.0067000001
11.03.2018 21:00:00.000,9646,10005,8894,9127,702790.0028999998
12.03.2018 21:00:00.000,9128,9582,8959,9168,745430.0079
13.03.2018 21:00:00.000,9167,9460,8319,8416,724649.9956
14.03.2018 21:00:00.000,8416,8526,7783,8364,818049.9972999998
15.03.2018 21:00:00.000,8364,8710,8023,8636,717619.9951000001
18.03.2018 21:00:00.000,8309,8827,8162,8530,783730.0053000001
19.03.2018 21:00:00.000,8530,9108,8432,8989,974190.0081
20.03.2018 21:00:00.000,8989,9247,8831,8963,1566725.0058999998
